,RT_high,RT_high_1,RT_low,ACC_high,ACC_high_1,ACC_low,prolific_participant_id
43,907,963.952381,911.78,1,1,0.984375,60f78076ce7f33511c38ebf3
44,931.3333333,799.3333333,769.7777778,0.958333333,1,0.984375,5fbc1367373b9307763985c0
45,754.6428571,855.1904762,780.5148515,1,0.958333333,0.994791667,6039301619f2633730d2a3a5
46,822.3076923,709.3809524,773.73,0.958333333,1,0.979166667,60fd043aee7fe3166c9490d3
47,749.0769231,723.1428571,724.5463918,0.958333333,1,0.973958333,60fcf2d9220a47c4c72bce7d
48,1013.285714,948.6842105,914.5360825,1,0.875,0.963541667,60d64a858ac8cd7015ae3492
49,816.6153846,834.4285714,830.9255319,0.958333333,1,0.942708333,60f2251cc696183c77b7aa05
50,1165.416667,1005,996.2359551,0.916666667,0.791666667,0.901041667,60b8db5feb283b86cce8de9f
51,804.1428571,894.8571429,874.5612245,1,1,0.963541667,6140bea1dc1179e374160d83
52,779.6153846,782.8947368,732.6526316,1,0.916666667,0.947916667,6141d61c189d7b0ffbc6477a
53,778.5714286,839.9090909,766.45,1,1,0.984375,60087f89ba0c184c6d305af9
54,792.2857143,714.75,738.877551,0.958333333,0.958333333,0.979166667,605732e50afa43bd03cbf035
55,739.6363636,786.7368421,726.6170213,0.916666667,0.875,0.911458333,612505db1b9ee34d76686d2b
57,908.4285714,843.7142857,904.4948454,0.958333333,0.958333333,0.947916667,60fce920666181be9735cd49
58,853.1538462,1064.5,827.1818182,1,1,0.979166667,5f6280e896ef951aca58fdc3
59,812,785.3809524,762.6808511,0.916666667,1,0.958333333,60fce0bef64ee00be89e5d0c
0,681.5714286,746.2631579,698.8,0.958333333,0.875,0.942708333,22821
1,766.2307692,789.2857143,710.6129032,0.958333333,1,0.942708333,22621
